age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;Probability_Success_%;Model_Prediction
53;admin.;single;university.degree;no;no;no;cellular;apr;thu;494;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1;yes;92.0;1
20;student;single;basic.9y;no;yes;no;cellular;jul;thu;361;3;6;3;success;-1.7;94.215;-40.3;0.846;4991.6;yes;92.0;1
31;admin.;single;university.degree;no;yes;no;cellular;jul;fri;815;2;13;2;success;-1.7;94.215;-40.3;0.861;4991.6;yes;92.0;1
47;admin.;single;basic.9y;no;yes;yes;cellular;jul;thu;392;2;6;1;success;-1.7;94.215;-40.3;0.846;4991.6;yes;92.0;1
92;retired;married;unknown;no;yes;no;cellular;may;thu;271;1;6;2;success;-1.8;93.876;-40.0;0.683;5008.7;no;92.0;1
46;technician;married;professional.course;no;no;yes;cellular;apr;tue;189;1;5;2;success;-1.8;93.749;-34.6;0.638;5008.7;yes;92.0;1
33;admin.;married;university.degree;no;yes;no;cellular;nov;tue;318;2;3;3;success;-3.4;92.649;-30.1;0.715;5017.5;yes;91.0;1
48;admin.;married;university.degree;no;yes;yes;cellular;aug;wed;288;1;0;3;success;-1.7;94.027;-38.3;0.9;4991.6;yes;91.0;1
92;retired;married;unknown;no;no;yes;cellular;aug;tue;1064;1;3;1;success;-1.7;94.027;-38.3;0.904;4991.6;yes;91.0;1
41;technician;married;professional.course;no;no;no;cellular;nov;mon;526;2;6;1;success;-1.1;94.767;-50.8;1.039;4963.6;yes;91.0;1
30;admin.;single;university.degree;no;no;no;cellular;jul;tue;212;1;3;2;success;-1.7;94.215;-40.3;0.797;4991.6;no;91.0;1
80;retired;divorced;basic.4y;no;yes;yes;cellular;apr;thu;554;1;10;2;success;-1.8;93.749;-34.6;0.644;5008.7;yes;91.0;1
28;admin.;single;high.school;no;yes;no;cellular;mar;fri;342;1;999;0;nonexistent;-1.8;92.843;-50.0;1.531;5099.1;yes;91.0;1
36;admin.;single;university.degree;no;no;no;cellular;jun;wed;706;1;7;1;success;-1.7;94.055;-39.8;0.739;4991.6;yes;91.0;1
32;admin.;single;university.degree;no;yes;no;cellular;jul;thu;250;2;6;1;success;-1.7;94.215;-40.3;0.846;4991.6;no;91.0;1
34;technician;married;professional.course;no;yes;no;cellular;oct;wed;442;2;8;1;success;-3.4;92.431;-26.9;0.735;5017.5;yes;90.0;1
20;student;single;unknown;no;no;no;cellular;may;tue;530;2;3;5;success;-1.8;93.876;-40.0;0.697;5008.7;yes;90.0;1
78;retired;married;unknown;no;no;no;cellular;mar;thu;272;1;6;2;success;-1.8;93.369;-34.8;0.635;5008.7;yes;90.0;1
33;admin.;married;university.degree;no;yes;no;cellular;may;mon;740;1;3;2;success;-1.8;93.876;-40.0;0.685;5008.7;yes;90.0;1
52;management;married;university.degree;no;yes;no;cellular;may;fri;787;3;3;3;success;-1.8;93.876;-40.0;0.684;5008.7;yes;90.0;1
34;technician;single;professional.course;no;no;no;cellular;mar;fri;229;1;999;0;nonexistent;-1.8;92.843;-50.0;1.726;5099.1;yes;89.0;1
26;student;single;high.school;no;yes;yes;cellular;apr;fri;888;1;6;2;success;-1.8;93.749;-34.6;0.645;5008.7;yes;89.0;1
30;technician;single;professional.course;no;no;no;cellular;sep;tue;706;1;6;1;success;-1.1;94.199;-37.5;0.877;4963.6;no;88.0;1
68;retired;divorced;high.school;no;yes;yes;cellular;jul;wed;340;1;3;1;success;-1.7;94.215;-40.3;0.896;4991.6;yes;88.0;1
26;admin.;married;high.school;no;yes;no;cellular;nov;fri;338;1;7;1;success;-3.4;92.649;-30.1;0.714;5017.5;yes;88.0;1
33;admin.;single;university.degree;no;no;no;cellular;mar;mon;427;1;6;2;success;-1.8;93.369;-34.8;0.646;5008.7;yes;88.0;1
32;admin.;single;university.degree;no;no;no;cellular;jun;tue;856;1;12;2;success;-1.7;94.055;-39.8;0.737;4991.6;yes;88.0;1
54;admin.;married;high.school;no;no;no;cellular;oct;wed;252;2;6;2;success;-1.1;94.601;-49.5;0.985;4963.6;yes;88.0;1
80;retired;married;basic.4y;no;no;no;cellular;may;mon;382;1;3;3;success;-1.8;93.876;-40.0;0.697;5008.7;yes;87.0;1
29;admin.;single;university.degree;no;yes;no;telephone;jun;wed;294;2;3;1;success;-1.7;94.055;-39.8;0.715;4991.6;no;87.0;1
41;admin.;married;university.degree;no;yes;no;cellular;apr;fri;342;1;999;0;nonexistent;-1.8;93.749;-34.6;0.645;5008.7;yes;87.0;1
33;admin.;married;university.degree;no;yes;no;cellular;nov;tue;344;2;3;1;success;-3.4;92.649;-30.1;0.715;5017.5;yes;87.0;1
34;services;married;basic.9y;no;no;no;cellular;jul;wed;604;1;999;0;nonexistent;-1.7;94.215;-40.3;0.84;4991.6;yes;87.0;1
46;admin.;married;university.degree;no;yes;no;cellular;jul;fri;341;3;999;0;nonexistent;-1.7;94.215;-40.3;0.822;4991.6;yes;87.0;1
52;admin.;married;professional.course;no;no;no;cellular;jul;tue;606;1;999;0;nonexistent;-1.7;94.215;-40.3;0.893;4991.6;yes;87.0;1
28;admin.;married;high.school;no;no;yes;cellular;may;wed;530;2;999;0;nonexistent;-1.8;93.876;-40.0;0.697;5008.7;yes;87.0;1
30;admin.;single;university.degree;no;yes;no;cellular;jul;tue;255;2;3;1;success;-1.7;94.215;-40.3;0.797;4991.6;no;86.0;1
35;admin.;single;university.degree;no;yes;no;cellular;apr;thu;388;2;999;0;nonexistent;-1.8;93.749;-34.6;0.659;5008.7;yes;86.0;1
37;admin.;married;university.degree;no;unknown;unknown;cellular;jun;fri;602;1;10;1;success;-1.7;94.055;-39.8;0.719;4991.6;yes;86.0;1
30;technician;married;university.degree;no;yes;no;cellular;dec;thu;244;2;6;1;success;-3.0;92.713;-33.0;0.72;5023.5;yes;86.0;1
28;services;single;basic.6y;no;no;no;cellular;jun;wed;385;2;4;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes;86.0;1
45;unemployed;married;high.school;no;no;no;cellular;sep;wed;1081;2;999;0;nonexistent;-1.1;94.199;-37.5;0.88;4963.6;yes;86.0;1
35;admin.;married;university.degree;no;no;no;cellular;jul;mon;768;2;3;4;success;-1.7;94.215;-40.3;0.889;4991.6;no;85.0;1
79;retired;married;basic.4y;no;no;yes;cellular;nov;tue;301;2;3;1;success;-3.4;92.649;-30.1;0.715;5017.5;yes;85.0;1
56;technician;divorced;professional.course;no;no;no;cellular;oct;mon;464;1;3;2;success;-1.1;94.601;-49.5;1.0;4963.6;yes;85.0;1
36;unemployed;married;high.school;no;yes;no;cellular;oct;mon;304;1;3;1;success;-1.1;94.601;-49.5;1.032;4963.6;yes;85.0;1
62;retired;married;university.degree;no;no;no;cellular;nov;thu;483;2;6;3;success;-1.1;94.767;-50.8;1.031;4963.6;yes;85.0;1
52;technician;married;university.degree;no;no;no;cellular;may;thu;211;1;3;4;success;-1.8;93.876;-40.0;0.677;5008.7;yes;85.0;1
77;retired;married;university.degree;no;yes;no;telephone;may;wed;372;1;3;4;success;-1.8;93.876;-40.0;0.682;5008.7;yes;85.0;1
34;admin.;single;university.degree;no;no;no;cellular;nov;thu;169;1;7;2;success;-3.4;92.649;-30.1;0.714;5017.5;yes;85.0;1
24;student;single;high.school;no;yes;yes;cellular;sep;wed;251;2;6;2;success;-1.1;94.199;-37.5;0.876;4963.6;yes;84.0;1
40;technician;married;professional.course;no;yes;no;cellular;may;wed;248;1;3;4;success;-1.8;93.876;-40.0;0.682;5008.7;yes;84.0;1
59;retired;divorced;basic.4y;no;yes;yes;cellular;jul;mon;796;1;6;1;success;-1.7;94.215;-40.3;0.827;4991.6;yes;84.0;1
23;student;single;professional.course;no;yes;no;cellular;sep;wed;316;1;8;2;success;-1.1;94.199;-37.5;0.876;4963.6;yes;84.0;1
30;admin.;single;university.degree;no;no;no;cellular;jun;wed;656;1;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;no;84.0;1
37;admin.;married;high.school;no;no;no;telephone;apr;tue;426;2;999;0;nonexistent;-1.8;93.749;-34.6;0.646;5008.7;yes;84.0;1
50;admin.;married;university.degree;no;yes;no;cellular;aug;wed;1149;5;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes;84.0;1
35;technician;single;professional.course;no;yes;no;cellular;jul;tue;577;6;6;1;success;-1.7;94.215;-40.3;0.835;4991.6;yes;84.0;1
70;retired;divorced;basic.4y;no;no;no;cellular;jul;thu;390;2;6;2;success;-1.7;94.215;-40.3;0.846;4991.6;yes;83.0;1
34;technician;single;basic.9y;no;no;no;cellular;aug;mon;205;3;6;3;success;-1.7;94.027;-38.3;0.896;4991.6;yes;83.0;1
61;retired;married;high.school;no;yes;no;cellular;apr;tue;930;4;999;0;nonexistent;-1.8;93.749;-34.6;0.642;5008.7;no;83.0;1
40;services;married;professional.course;no;yes;no;cellular;oct;thu;244;1;3;1;success;-3.4;92.431;-26.9;0.74;5017.5;yes;83.0;1
64;retired;married;university.degree;no;no;no;cellular;mar;fri;158;1;3;2;success;-1.8;93.369;-34.8;0.653;5008.7;no;83.0;1
43;self-employed;married;university.degree;no;yes;no;cellular;mar;mon;264;2;9;1;success;-1.8;93.369;-34.8;0.652;5008.7;yes;83.0;1
29;admin.;single;high.school;no;yes;no;cellular;sep;thu;216;1;6;2;success;-1.1;94.199;-37.5;0.879;4963.6;yes;83.0;1
29;management;married;university.degree;no;yes;no;cellular;nov;wed;199;1;9;1;success;-3.4;92.649;-30.1;0.719;5017.5;no;82.0;1
41;unemployed;married;high.school;no;yes;yes;cellular;sep;wed;175;1;6;1;success;-1.1;94.199;-37.5;0.879;4963.6;yes;82.0;1
21;student;single;high.school;no;yes;no;cellular;aug;tue;263;3;9;2;success;-1.7;94.027;-38.3;0.899;4991.6;yes;82.0;1
52;admin.;married;professional.course;no;no;no;cellular;sep;wed;953;2;999;0;nonexistent;-1.1;94.199;-37.5;0.876;4963.6;yes;82.0;1
36;admin.;married;university.degree;no;yes;no;cellular;apr;thu;483;1;0;1;success;-1.8;93.075;-47.1;1.365;5099.1;yes;82.0;1
56;retired;married;professional.course;no;unknown;unknown;cellular;oct;thu;181;1;6;1;success;-3.4;92.431;-26.9;0.733;5017.5;yes;82.0;1
46;admin.;married;university.degree;no;yes;no;cellular;mar;thu;335;1;999;0;nonexistent;-1.8;93.369;-34.8;0.65;5008.7;yes;82.0;1
51;technician;married;professional.course;no;yes;no;cellular;apr;thu;341;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;82.0;1
54;blue-collar;married;basic.9y;no;yes;no;cellular;jun;fri;239;2;3;1;success;-2.9;92.963;-40.8;1.268;5076.2;yes;82.0;1
33;admin.;single;university.degree;no;yes;no;cellular;apr;thu;280;1;7;2;success;-1.8;93.749;-34.6;0.635;5008.7;yes;82.0;1
34;technician;single;unknown;no;yes;no;cellular;aug;thu;320;2;3;1;success;-2.9;92.201;-31.4;0.851;5076.2;yes;81.0;1
26;technician;single;university.degree;no;no;no;cellular;oct;wed;649;1;999;0;nonexistent;-1.1;94.601;-49.5;0.959;4963.6;yes;81.0;1
26;admin.;single;high.school;no;no;no;telephone;oct;fri;257;2;4;1;success;-3.4;92.431;-26.9;0.73;5017.5;yes;81.0;1
25;services;single;high.school;no;yes;no;cellular;jun;thu;239;2;3;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes;81.0;1
33;student;married;professional.course;no;yes;no;cellular;aug;mon;265;3;3;4;success;-1.7;94.027;-38.3;0.896;4991.6;yes;81.0;1
36;self-employed;single;university.degree;no;yes;no;telephone;oct;thu;248;1;999;0;nonexistent;-0.1;93.798;-40.4;4.794;5195.8;yes;81.0;1
39;technician;divorced;professional.course;no;yes;no;cellular;aug;tue;1134;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;yes;81.0;1
56;technician;married;basic.4y;no;no;no;cellular;oct;thu;306;3;3;1;success;-3.4;92.431;-26.9;0.733;5017.5;yes;81.0;1
60;retired;married;high.school;no;no;no;cellular;sep;wed;1640;1;999;0;nonexistent;-1.1;94.199;-37.5;0.876;4963.6;yes;80.0;1
32;admin.;single;university.degree;no;yes;no;cellular;jul;thu;210;2;15;1;success;-1.7;94.215;-40.3;0.846;4991.6;no;80.0;1
41;admin.;married;university.degree;no;yes;no;telephone;aug;thu;345;1;9;3;failure;-1.7;94.027;-38.3;0.899;4991.6;yes;80.0;1
34;admin.;divorced;high.school;no;no;no;cellular;nov;tue;492;2;6;3;success;-3.4;92.649;-30.1;0.716;5017.5;no;80.0;1
43;technician;married;professional.course;no;yes;no;cellular;jul;thu;1193;1;999;0;nonexistent;-1.7;94.215;-40.3;0.884;4991.6;yes;80.0;1
30;technician;single;professional.course;no;yes;no;cellular;sep;fri;789;2;999;0;nonexistent;-1.1;94.199;-37.5;0.883;4963.6;no;80.0;1
72;retired;married;basic.4y;no;no;yes;cellular;jul;fri;483;4;8;1;success;-1.7;94.215;-40.3;0.822;4991.6;yes;80.0;1
32;admin.;single;high.school;no;no;no;cellular;apr;thu;1143;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;80.0;1
28;admin.;single;high.school;no;no;no;cellular;mar;fri;347;2;999;0;nonexistent;-1.8;92.843;-50.0;1.531;5099.1;yes;80.0;1
38;blue-collar;single;high.school;no;yes;no;telephone;mar;wed;557;1;999;0;nonexistent;-1.8;93.369;-34.8;0.655;5008.7;yes;79.0;1
30;admin.;single;university.degree;no;yes;no;cellular;jun;wed;617;2;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;yes;79.0;1
41;admin.;single;university.degree;no;unknown;unknown;cellular;apr;thu;1277;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;79.0;1
61;management;married;university.degree;no;yes;no;cellular;nov;tue;195;1;7;1;success;-3.4;92.649;-30.1;0.715;5017.5;yes;79.0;1
32;admin.;single;university.degree;no;no;no;cellular;jun;fri;255;1;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;yes;79.0;1
29;admin.;married;university.degree;no;unknown;unknown;cellular;jul;tue;311;1;3;1;success;-1.7;94.215;-40.3;0.835;4991.6;yes;79.0;1
29;admin.;married;high.school;no;yes;no;cellular;jun;wed;605;3;999;0;nonexistent;-1.7;94.055;-39.8;0.727;4991.6;yes;79.0;1
41;admin.;single;high.school;no;yes;no;cellular;aug;mon;606;1;6;1;success;-2.9;92.201;-31.4;0.861;5076.2;yes;79.0;1
29;admin.;single;university.degree;no;yes;no;cellular;jul;wed;276;1;999;0;nonexistent;-1.7;94.215;-40.3;0.84;4991.6;yes;79.0;1
32;admin.;married;university.degree;no;no;yes;cellular;jun;thu;327;3;3;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes;79.0;1
45;admin.;married;university.degree;no;no;no;cellular;jul;thu;252;1;999;0;nonexistent;-2.9;92.469;-33.6;1.072;5076.2;yes;78.0;1
63;admin.;married;university.degree;no;yes;no;cellular;jul;fri;396;2;999;0;nonexistent;-1.7;94.215;-40.3;0.885;4991.6;yes;78.0;1
73;retired;married;basic.4y;no;yes;no;cellular;jul;tue;305;1;999;0;nonexistent;-1.7;94.215;-40.3;0.835;4991.6;yes;78.0;1
31;technician;married;university.degree;no;no;no;cellular;mar;wed;625;4;999;0;nonexistent;-1.8;93.369;-34.8;0.651;5008.7;no;78.0;1
53;unknown;married;professional.course;no;no;no;cellular;jun;thu;217;2;3;1;success;-2.9;92.963;-40.8;1.26;5076.2;no;78.0;1
34;blue-collar;married;basic.9y;no;yes;no;cellular;aug;tue;298;2;999;0;nonexistent;-1.7;94.027;-38.3;0.886;4991.6;no;78.0;1
30;admin.;single;university.degree;no;no;no;cellular;jun;thu;323;1;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;yes;78.0;1
66;retired;married;basic.4y;unknown;unknown;unknown;cellular;oct;wed;216;1;6;3;success;-1.1;94.601;-49.5;0.985;4963.6;yes;78.0;1
25;admin.;single;university.degree;no;yes;yes;cellular;jun;tue;431;3;4;1;success;-2.9;92.963;-40.8;1.286;5076.2;no;78.0;1
44;technician;married;university.degree;no;no;no;cellular;jun;wed;874;2;999;1;failure;-1.7;94.055;-39.8;0.715;4991.6;yes;78.0;1
31;services;married;high.school;no;yes;no;cellular;jun;wed;591;2;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;yes;78.0;1
84;retired;married;high.school;no;no;no;cellular;dec;tue;351;1;999;0;nonexistent;-3.0;92.713;-33.0;0.715;5023.5;yes;78.0;1
36;blue-collar;single;high.school;no;yes;yes;cellular;jun;wed;342;2;3;1;success;-1.7;94.055;-39.8;0.739;4991.6;yes;77.0;1
74;retired;divorced;basic.4y;no;yes;no;cellular;aug;wed;536;1;13;1;success;-2.9;92.201;-31.4;0.854;5076.2;yes;77.0;1
45;admin.;married;university.degree;no;no;no;cellular;sep;mon;351;1;3;2;success;-3.4;92.379;-29.8;0.797;5017.5;yes;77.0;1
80;retired;divorced;basic.4y;no;yes;yes;cellular;apr;wed;654;2;999;0;nonexistent;-1.8;93.749;-34.6;0.642;5008.7;yes;77.0;1
37;technician;married;professional.course;no;no;no;cellular;apr;thu;277;1;18;1;success;-1.8;93.749;-34.6;0.659;5008.7;yes;77.0;1
25;admin.;single;university.degree;no;yes;no;cellular;sep;thu;420;1;1;1;success;-3.4;92.379;-29.8;0.809;5017.5;no;77.0;1
27;admin.;single;university.degree;no;no;no;cellular;mar;tue;273;1;999;0;nonexistent;-1.8;93.369;-34.8;0.637;5008.7;yes;77.0;1
37;admin.;divorced;university.degree;no;no;no;cellular;aug;thu;329;3;9;1;success;-2.9;92.201;-31.4;0.851;5076.2;yes;77.0;1
33;management;married;university.degree;no;no;no;telephone;aug;thu;201;1;6;2;success;-1.7;94.027;-38.3;0.899;4991.6;yes;77.0;1
26;unemployed;single;university.degree;no;yes;no;cellular;apr;tue;168;1;999;0;nonexistent;-1.8;93.075;-47.1;1.423;5099.1;yes;77.0;1
39;technician;single;high.school;no;yes;no;cellular;may;fri;642;1;999;0;nonexistent;-1.8;92.893;-46.2;1.25;5099.1;no;77.0;1
33;technician;single;professional.course;no;yes;no;cellular;sep;fri;395;1;999;0;nonexistent;-1.1;94.199;-37.5;0.879;4963.6;yes;77.0;1
22;student;single;basic.9y;no;no;no;cellular;oct;fri;221;2;6;1;success;-3.4;92.431;-26.9;0.73;5017.5;yes;76.0;1
41;admin.;divorced;high.school;no;unknown;unknown;cellular;aug;thu;272;1;999;0;nonexistent;-1.7;94.027;-38.3;0.904;4991.6;yes;76.0;1
56;retired;married;high.school;no;no;no;cellular;jun;tue;383;1;3;1;success;-1.7;94.055;-39.8;0.761;4991.6;yes;76.0;1
36;admin.;married;university.degree;no;no;no;cellular;jul;thu;1739;5;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1;no;76.0;1
48;blue-collar;married;basic.6y;no;yes;no;cellular;may;tue;862;3;999;0;nonexistent;-1.8;92.893;-46.2;1.344;5099.1;yes;76.0;1
49;admin.;married;high.school;unknown;no;no;cellular;oct;wed;169;1;6;3;success;-1.1;94.601;-49.5;0.985;4963.6;yes;76.0;1
45;blue-collar;married;high.school;no;yes;yes;cellular;nov;mon;449;2;5;3;success;-1.1;94.767;-50.8;1.05;4963.6;yes;76.0;1
65;management;married;unknown;no;no;no;cellular;dec;wed;456;2;9;1;success;-3.0;92.713;-33.0;0.715;5023.5;yes;76.0;1
37;admin.;married;high.school;no;yes;no;cellular;apr;thu;226;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1;no;76.0;1
38;self-employed;married;professional.course;no;yes;no;cellular;apr;thu;779;2;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;76.0;1
35;technician;divorced;basic.4y;no;yes;no;cellular;nov;tue;385;3;4;2;success;-1.1;94.767;-50.8;1.035;4963.6;yes;76.0;1
26;admin.;married;high.school;no;no;no;cellular;jun;wed;598;4;12;3;failure;-1.7;94.055;-39.8;0.767;4991.6;yes;76.0;1
29;admin.;single;high.school;no;yes;no;cellular;nov;fri;176;2;7;2;success;-3.4;92.649;-30.1;0.714;5017.5;yes;75.0;1
34;admin.;single;university.degree;no;yes;no;cellular;mar;tue;265;2;999;0;nonexistent;-1.8;93.369;-34.8;0.652;5008.7;no;75.0;1
34;admin.;single;university.degree;no;no;yes;cellular;mar;tue;236;1;999;0;nonexistent;-1.8;93.369;-34.8;0.652;5008.7;yes;75.0;1
22;admin.;single;university.degree;no;unknown;unknown;cellular;jun;tue;835;2;999;0;nonexistent;-2.9;92.963;-40.8;1.286;5076.2;no;75.0;1
98;retired;married;basic.4y;unknown;yes;no;cellular;oct;fri;476;1;2;2;success;-3.4;92.431;-26.9;0.73;5017.5;yes;75.0;1
66;management;divorced;university.degree;no;no;no;cellular;sep;tue;679;1;1;1;success;-3.4;92.379;-29.8;0.788;5017.5;yes;75.0;1
65;retired;married;basic.4y;no;yes;yes;cellular;oct;wed;190;1;3;3;success;-1.1;94.601;-49.5;0.985;4963.6;yes;75.0;1
24;student;single;high.school;no;yes;no;cellular;oct;thu;423;3;999;0;nonexistent;-3.4;92.431;-26.9;0.722;5017.5;yes;75.0;1
25;technician;single;university.degree;no;yes;no;cellular;jun;fri;271;2;3;1;success;-2.9;92.963;-40.8;1.268;5076.2;no;75.0;1
26;student;single;basic.9y;no;yes;no;cellular;mar;mon;1447;2;999;0;nonexistent;-1.8;92.843;-50.0;1.811;5099.1;yes;75.0;1
60;admin.;married;professional.course;no;yes;no;cellular;apr;thu;571;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;75.0;1
33;admin.;single;university.degree;no;no;no;cellular;jun;fri;471;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;no;75.0;1
35;technician;married;professional.course;no;yes;no;cellular;sep;thu;390;2;999;0;nonexistent;-1.1;94.199;-37.5;0.878;4963.6;no;75.0;1
37;admin.;married;high.school;no;yes;no;cellular;jul;thu;230;2;999;0;nonexistent;-1.7;94.215;-40.3;0.81;4991.6;no;75.0;1
58;self-employed;married;university.degree;no;no;no;cellular;aug;fri;1242;3;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;yes;75.0;1
30;student;single;professional.course;no;yes;no;cellular;sep;mon;1616;4;19;1;success;-1.1;94.199;-37.5;0.879;4963.6;no;75.0;1
51;admin.;divorced;university.degree;no;yes;no;cellular;jul;mon;1339;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1;no;75.0;1
34;admin.;single;university.degree;no;yes;no;cellular;aug;wed;1038;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes;74.0;1
50;management;married;university.degree;no;yes;no;cellular;oct;thu;305;2;4;1;success;-3.4;92.431;-26.9;0.754;5017.5;yes;74.0;1
30;admin.;married;university.degree;no;unknown;unknown;cellular;mar;mon;291;3;8;1;success;-1.8;92.843;-50.0;1.629;5099.1;no;74.0;1
28;management;single;university.degree;no;yes;no;cellular;jun;thu;1161;1;4;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes;74.0;1
32;technician;divorced;professional.course;no;yes;yes;cellular;mar;tue;460;1;999;0;nonexistent;-1.8;92.843;-50.0;1.556;5099.1;yes;74.0;1
35;technician;married;professional.course;no;yes;yes;cellular;oct;wed;608;1;9;2;failure;-1.1;94.601;-49.5;0.959;4963.6;yes;74.0;1
66;retired;married;high.school;no;no;no;cellular;mar;tue;618;1;999;0;nonexistent;-1.8;93.369;-34.8;0.646;5008.7;no;74.0;1
26;self-employed;single;university.degree;no;yes;no;cellular;sep;thu;333;1;999;0;nonexistent;-1.1;94.199;-37.5;0.878;4963.6;no;74.0;1
34;technician;single;university.degree;no;no;no;cellular;may;tue;882;1;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1;yes;74.0;1
21;student;single;high.school;no;no;no;cellular;jun;wed;295;4;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2;no;74.0;1
30;admin.;married;university.degree;no;yes;no;cellular;apr;thu;475;2;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;yes;74.0;1
